,days,temperature,temp_Celcuis,short desc,image url,description
0,This Afternoon,High: 72 °F,345,"<p class=""short-desc"">Sunny</p>",https://newimages/medium/skc.png,"Sunny, with a high near 72. South southwest wind around 10 mph, with gusts as high as 15 mph. "
1,Tonight,Low: 55 °F,328,"<p class=""short-desc"">Patchy Fog</p>",https://newimages/medium/nfg.png,"Patchy fog after 11pm.  Otherwise, increasing clouds, with a low around 55. South southeast wind 5 to 10 mph. "
2,Saturday,High: 78 °F,351,"<p class=""short-desc"">Patchy Fog<br/>then Sunny</p>",https://DualImage.php?i=fg&j=few,"Patchy fog before 11am.  Otherwise, cloudy through mid morning, then gradual clearing, with a high near 78. South southwest wind 5 to 10 mph. "
3,Saturday Night,Low: 59 °F,332,"<p class=""short-desc"">Patchy Fog</p>",https://newimages/medium/nfg.png,"Patchy fog after 11pm.  Otherwise, increasing clouds, with a low around 59. South southeast wind around 5 mph. "
4,Sunday,High: 78 °F,351,"<p class=""short-desc"">Patchy Fog<br/>then Mostly<br/>Sunny</p>",https://DualImage.php?i=fg&j=sct,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 78. Light south southeast wind becoming south southwest 5 to 10 mph in the afternoon. "
5,Sunday Night,Low: 56 °F,329,"<p class=""short-desc"">Patchy Fog</p>",https://newimages/medium/nfg.png,"Patchy fog.  Otherwise, cloudy, with a low around 56."
6,Monday,High: 77 °F,350,"<p class=""short-desc"">Patchy Fog<br/>then Sunny</p>",https://DualImage.php?i=fg&j=few,"Patchy fog before 11am.  Otherwise, mostly sunny, with a high near 77."
7,Monday Night,Low: 56 °F,329,"<p class=""short-desc"">Patchy Fog</p>",https://newimages/medium/nfg.png,"Patchy fog after 11pm.  Otherwise, mostly cloudy, with a low around 56."
8,Tuesday,High: 81 °F,354,"<p class=""short-desc"">Patchy Fog<br/>then Sunny</p>",https://DualImage.php?i=fg&j=skc,"Patchy fog before 11am.  Otherwise, mostly sunny, with a high near 81."
9,Tuesday Night,Nan,Nan,Nan,Nan,"Patchy fog after 11pm.  Otherwise, mostly cloudy, with a low around 58."
10,Wednesday,Nan,Nan,Nan,Nan,"Patchy fog.  Otherwise, mostly sunny, with a high near 85."
11,Wednesday Night,Nan,Nan,Nan,Nan,"Patchy fog.  Otherwise, mostly cloudy, with a low around 59."
12,Thursday,Nan,Nan,Nan,Nan,"Patchy fog.  Otherwise, mostly sunny, with a high near 83."
